,age,response_side,impaired_vision,experience,gender,session_id,inner_width,trial_no,filename,scene_id,red_count,blue_count,version,response_time,expected_side,browser,screen_w,screen_h,os,exp_start_date,exp_start_time,favorite_team,favorite_color,subject_id,is_correct
0,23,red,no,never,female,1697797568418,1512,0,id17_v1_b6_r5.jpg,17,5,6,1,2739,blue,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,0.0
1,23,blue,no,never,female,1697797568418,1512,1,id10_v2_b7_r6.jpg,10,6,7,2,791,blue,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
2,23,blue,no,never,female,1697797568418,1512,2,id12_v1_b7_r6.jpg,12,6,7,1,1010,blue,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
3,23,blue,no,never,female,1697797568418,1512,3,id20_v1_b7_r6.jpg,20,6,7,1,1189,blue,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
4,23,red,no,never,female,1697797568418,1512,4,id5_v2_b7_r6.jpg,5,6,7,2,927,blue,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,0.0
5,23,red,no,never,female,1697797568418,1512,5,id22_v1_b6_r7.jpg,22,7,6,1,945,red,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
6,23,red,no,never,female,1697797568418,1512,6,id8_v2_b5_r6.jpg,8,6,5,2,661,red,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
7,23,blue,no,never,female,1697797568418,1512,7,id7_v2_b7_r6.jpg,7,6,7,2,962,blue,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
8,23,red,no,never,female,1697797568418,1512,8,id1_v2_b5_r7.jpg,1,7,5,2,1286,red,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
9,23,blue,no,never,female,1697797568418,1512,9,id15_v2_b8_r6.jpg,15,6,8,2,942,blue,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
10,23,red,no,never,female,1697797568418,1512,10,id24_v2_b6_r7.jpg,24,7,6,2,1044,red,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
11,23,blue,no,never,female,1697797568418,1512,11,id26_v1_b7_r6.jpg,26,6,7,1,770,blue,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
12,23,blue,no,never,female,1697797568418,1512,12,id27_v2_b6_r7.jpg,27,7,6,2,720,red,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,0.0
13,23,blue,no,never,female,1697797568418,1512,13,id16_v2_b7_r6.jpg,16,6,7,2,1027,blue,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
14,23,blue,no,never,female,1697797568418,1512,14,id28_v2_b7_r6.jpg,28,6,7,2,727,blue,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
15,23,blue,no,never,female,1697797568418,1512,15,id6_v1_b7_r5.jpg,6,5,7,1,678,blue,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
16,23,blue,no,never,female,1697797568418,1512,16,id23_v1_b5_r6.jpg,23,6,5,1,696,red,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,0.0
17,23,blue,no,never,female,1697797568418,1512,17,id19_v2_b7_r6.jpg,19,6,7,2,1043,blue,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
18,23,blue,no,never,female,1697797568418,1512,18,id11_v1_b5_r6.jpg,11,6,5,1,1178,red,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,0.0
19,23,red,no,never,female,1697797568418,1512,19,id21_v1_b6_r7.jpg,21,7,6,1,863,red,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
20,23,red,no,never,female,1697797568418,1512,20,id18_v2_b5_r7.jpg,18,7,5,2,1112,red,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
21,23,blue,no,never,female,1697797568418,1512,21,id13_v2_b6_r5.jpg,13,5,6,2,1115,blue,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
22,23,red,no,never,female,1697797568418,1512,22,id30_v2_b6_r7.jpg,30,7,6,2,1114,red,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
23,23,blue,no,never,female,1697797568418,1512,23,id4_v2_b6_r5.jpg,4,5,6,2,818,blue,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
24,23,blue,no,never,female,1697797568418,1512,24,id29_v2_b6_r7.jpg,29,7,6,2,1043,red,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,0.0
25,23,blue,no,never,female,1697797568418,1512,25,id14_v2_b6_r7.jpg,14,7,6,2,1003,red,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,0.0
26,23,red,no,never,female,1697797568418,1512,26,id25_v2_b6_r7.jpg,25,7,6,2,711,red,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
27,23,red,no,never,female,1697797568418,1512,27,id3_v2_b6_r7.jpg,3,7,6,2,903,red,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
28,23,blue,no,never,female,1697797568418,1512,28,id9_v1_b7_r5.jpg,9,5,7,1,1050,blue,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
29,23,red,no,never,female,1697797568418,1512,29,id2_v2_b5_r6.jpg,2,6,5,2,896,red,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
30,23,red,no,never,female,1697797568418,1512,30,id20_v2_b6_r7.jpg,20,7,6,2,659,red,Netscape,1512,982,MacIntel,20-09-23,12:26:00,other,other,444707,1.0
