subject_id,trial_no,filename,gender,age,experience,favorite_team,favorite_color,impaired_vision,response_time,response_side
0,0,id13_v1_r5_b6.jpg,m,33,more,blue,neither,False,891.8437367348209,red
0,41,id13_v2_r6_b5.jpg,m,33,more,blue,neither,False,794.683522457299,red
1,28,id13_v1_r6_b5.jpg,f,27,more,neither,neither,False,954.5007429954995,red
1,61,id13_v2_r5_b6.jpg,f,27,more,neither,neither,False,1109.4114773326967,red
2,33,id13_v1_r5_b6.jpg,m,35,last-month,blue,blue,False,850.0111983913165,blue
2,77,id13_v2_r6_b5.jpg,m,35,last-month,blue,blue,False,848.9388624427185,red
3,22,id13_v1_r5_b6.jpg,f,32,more,neither,neither,False,1070.970772616124,blue
3,65,id13_v2_r6_b5.jpg,f,32,more,neither,neither,False,913.752428630391,red
4,4,id13_v1_r6_b5.jpg,m,21,last-year,blue,neither,False,702.5635501760703,red
4,45,id13_v2_r5_b6.jpg,m,21,last-year,blue,neither,False,839.5315380202106,red
5,11,id13_v1_r6_b5.jpg,f,37,more,neither,blue,False,803.3238706428161,red
5,44,id13_v2_r5_b6.jpg,f,37,more,neither,blue,False,784.6281304553223,blue
6,5,id13_v1_r5_b6.jpg,f,33,more,neither,neither,False,1186.9642628937422,red
6,68,id13_v2_r6_b5.jpg,f,33,more,neither,neither,False,937.8713177857762,red
7,17,id13_v1_r6_b5.jpg,f,34,more,neither,neither,False,1160.1099211358119,red
7,79,id13_v2_r5_b6.jpg,f,34,more,neither,neither,False,816.0478720596957,red
8,35,id13_v1_r6_b5.jpg,m,22,last-month,neither,blue,False,687.9612585390303,red
8,44,id13_v2_r5_b6.jpg,m,22,last-month,neither,blue,False,846.501786838509,red
9,29,id13_v1_r6_b5.jpg,m,28,last-year,neither,neither,False,882.567755051143,red
9,48,id13_v2_r5_b6.jpg,m,28,last-year,neither,neither,False,968.9296894555762,blue
10,38,id13_v1_r5_b6.jpg,f,26,more,neither,neither,False,1060.537272796586,blue
10,57,id13_v2_r6_b5.jpg,f,26,more,neither,neither,False,994.9198602846284,red
11,29,id13_v1_r5_b6.jpg,m,36,last-year,red,both,False,1135.9390741671098,blue
