subject_id,trial_no,filename,gender,age,experience,favorite_team,favorite_color,sim_psucc,impaired_vision,response_time,response_side,scene_id,red_count,blue_count,expected_side
0,0,id13_v1_r5_b6.jpg,f,33,more,blue,neither,0.5345794302492374,False,1222.0453466421357,red,13,5,6,blue
0,41,id13_v2_r5_b6.jpg,f,33,more,blue,neither,0.6682242878115467,False,993.3885246083424,blue,13,5,6,blue
1,28,id13_v1_r6_b5.jpg,f,27,more,neither,neither,0.6276805385863288,False,777.752738953913,red,13,6,5,red
1,61,id13_v2_r6_b5.jpg,f,27,more,neither,neither,0.6276805385863288,False,914.9274353164028,blue,13,6,5,red
2,33,id13_v1_r5_b6.jpg,f,35,more,blue,blue,0.7438847076040763,False,1321.9528565263968,blue,13,5,6,blue
2,77,id13_v2_r5_b6.jpg,f,35,more,blue,blue,0.7438847076040763,False,1218.801563872402,blue,13,5,6,blue
3,22,id13_v1_r5_b6.jpg,m,32,last-month,neither,neither,0.7303581572190796,False,1016.4628332880372,blue,13,5,6,blue
3,65,id13_v2_r5_b6.jpg,m,32,last-month,neither,neither,0.7303581572190796,False,768.3214457589397,blue,13,5,6,blue
4,4,id13_v1_r6_b5.jpg,m,21,last-year,blue,neither,0.6873017349630455,False,848.8284433829391,red,13,6,5,red
4,45,id13_v2_r6_b5.jpg,m,21,last-year,blue,neither,0.7732144518334261,False,930.6827553974348,blue,13,6,5,red
5,11,id13_v1_r6_b5.jpg,f,37,more,neither,blue,0.6672462320357052,False,686.5012621248759,red,13,6,5,red
5,44,id13_v2_r6_b5.jpg,f,37,more,neither,blue,0.6672462320357052,False,735.6571121725871,blue,13,6,5,red
6,5,id13_v1_r5_b6.jpg,f,33,more,neither,neither,0.6685288108497169,False,941.7662523750124,red,13,5,6,blue
6,68,id13_v2_r5_b6.jpg,f,33,more,neither,neither,0.7337511338594455,False,638.6977367220444,blue,13,5,6,blue
7,17,id13_v1_r6_b5.jpg,m,34,last-year,neither,neither,0.7840642970078415,False,1408.659585621185,red,13,6,5,red
